"Year","Quarter","Month","Group","Unit","Population","Deflator","Total Disposable Income (nominal $)","Total Factor Income (nominal $)","Total Posttax Income (nominal $)","Total Pretax Income (nominal $)","Disposable Income Per Unit (nominal $)","Factor Income Per Unit (nominal $)","Posttax Income Per Unit (nominal $)","Pretax Income Per Unit (nominal $)","Disposable Income Share","Factor Income Share","Posttax Income Share","Pretax Income Share"
"1978","2","5","Top 1%","Adults","1494604.6538081649","0.29112369","130967994679.9161","212062993190.0119","161143544259.4219","213230967805.3026","87627.182443342","141885.6770248158","107816.8356085588","142667.1376019087","0.0841514976","0.1058335009","0.0804213175","0.1064163977"
"1978","2","6","Top 1%","Adults","1497156.2419511408","0.2929199","132073480053.7377","214296992286.0607","163093592603.9607","215589611006.3204","88216.2304460725","143136.0243382362","108935.5860357046","143999.4069859785","0.0841388084","0.105680425","0.0804295011","0.1063178791"
"1978","3","7","Top 1%","Adults","1499683.768909602","0.2944001","131486163679.5504","213733411683.4733","162582116863.487","214789823078.4821","87675.9263555623","142518.9870787731","108410.9331807319","143223.4098490328","0.0831414071","0.1048785191","0.0797786897","0.1053968979"
"1978","3","8","Top 1%","Adults","1502194.529605379","0.29588762","132916569258.9678","215289175397.7803","164222625610.5806","216365302303.5918","88481.5958515602","143316.4421483654","109321.8104407032","144032.8120223086","0.0833539442","0.1047803669","0.0799264846","0.1053041136"
"1978","3","9","Top 1%","Adults","1504644.76786356","0.29770294","133368374771.0051","216356095196.4179","165224007034.4393","217596294227.5309","88637.7819000922","143792.1427152677","109809.3121800705","144616.3897784958","0.0830844177","0.1044330779","0.0797520941","0.1050317104"
"1978","4","10","Top 1%","Adults","1507115.9902507141","0.30033109","135230269780.1833","219661153316.8719","167876004273.4854","221024770185.5627","89727.8448738954","145749.3349800704","111388.9079270924","146654.1205954523","0.0832402994","0.1045276233","0.0798852201","0.105176512"
"1978","4","11","Top 1%","Adults","1509634.9294643793","0.30219555","135066356532.4012","220359919191.7974","168167912578.6857","221864151496.44397","89469.5491580358","145969.0120378848","111396.4106794693","146965.4332754222","0.0826548422","0.1040568521","0.0794111004","0.1047671704"
"1978","4","12","Top 1%","Adults","1512185.2215785433","0.30364567","135697106978.1418","221399297379.6548","169389717991.2845","222921236795.3466","89735.7711487816","146410.1713337338","112016.5146267344","147416.6217301364","0.0823401416","0.1035510946","0.0792255933","0.1042629239"
"1979","1","1","Top 1%","Adults","1514765.7363021392","0.30585822","137657543705.7154","223179327684.67","171367571595.3576","224771244290.2355","90877.1174358395","147335.87005308","113131.4020963412","148386.8025949341","0.0828143726","0.1036468556","0.0795849256","0.1043861586"
"1979","1","2","Top 1%","Adults","1517387.74","0.30733302","139805763392.716","225886612232.6475","174218972342.8203","227551972288.6305","92135.8198087959","148865.452302025","114815.0652270463","149962.9701032318","0.0834674504","0.104001211","0.08021274","0.1047679644"
